Date/Time,CPU Usage %,Temperature C
2022-03-29 14:03:46.185736,25.2,64.7
2022-03-29 14:03:56.365764,25.1,64.7
2022-03-29 14:04:06.705725,25.2,65.7
2022-03-29 14:04:16.972147,25.2,65.2
2022-03-29 14:04:27.154035,2.2,61.8
2022-03-29 14:04:37.439984,0.7,61.3
2022-03-29 14:04:47.628516,0.5,59.4
2022-03-29 14:04:57.832336,0.3,60.3
2022-03-29 14:05:08.028223,0.4,58.9
2022-03-29 14:05:18.238800,0.6,58.9
2022-03-29 14:05:28.517026,0.9,58.9
2022-03-29 14:05:38.905780,0.9,57.4
2022-03-29 14:05:49.171596,0.5,57.4
2022-03-29 14:05:59.369847,0.5,58.9
2022-03-29 14:06:09.575727,16.2,58.9
2022-03-29 14:06:19.827963,21.3,60.8
2022-03-29 14:06:30.005800,8.2,59.4
2022-03-29 14:06:40.259123,1.8,58.4
2022-03-29 14:06:50.465022,0.5,57.9
2022-03-29 14:07:00.656312,8.3,58.4
2022-03-29 14:07:10.875786,3.9,57.4
2022-03-29 14:07:21.085755,0.7,57.4
2022-03-29 14:07:31.275708,10.2,59.4
2022-03-29 14:07:41.655722,18.8,59.9
2022-03-29 14:07:51.855759,16.9,60.3
2022-03-29 14:08:02.088391,25.2,61.8
2022-03-29 14:08:12.306839,22.3,61.3
2022-03-29 14:08:22.489382,3.6,59.4
2022-03-29 14:08:32.743685,8.4,59.4
2022-03-29 14:08:42.958885,2,59.4
2022-03-29 14:08:53.166694,2.7,58.9
2022-03-29 14:09:03.345718,8,59.9
2022-03-29 14:09:13.765721,20.2,60.8
2022-03-29 14:09:24.345732,19.6,60.8
2022-03-29 14:09:34.650766,24.8,62.3
2022-03-29 14:09:44.862782,21.8,61.8
2022-03-29 14:09:55.069190,5.2,59.9
2022-03-29 14:10:05.291105,12.5,61.3
2022-03-29 14:10:15.489003,17.3,60.8
2022-03-29 14:10:25.750567,3.9,59.9
2022-03-29 14:10:35.955736,16.8,61.3
2022-03-29 14:10:46.167706,20.2,60.8
2022-03-29 14:10:56.335540,3.6,59.4
2022-03-29 14:11:06.584067,2.9,57.9
2022-03-29 14:11:16.801972,4.9,58.9
2022-03-29 14:11:27.002012,9.2,59.4
2022-03-29 14:11:37.196333,1.3,57.9
2022-03-29 14:11:47.405786,1.3,58.9
2022-03-29 14:11:57.580571,16.9,58.9
2022-03-29 14:12:07.786702,0.5,56.9
2022-03-29 14:12:17.984142,0.4,56.9
2022-03-29 14:12:28.293626,0.7,58.4
2022-03-29 14:12:38.482957,15.3,59.9
2022-03-29 14:12:48.743578,1.8,57.9
2022-03-29 14:12:58.963439,5.6,57.4
2022-03-29 14:13:09.158301,13.8,58.4
2022-03-29 14:13:19.358739,25.1,60.8
2022-03-29 14:13:29.534634,35.4,60.8
2022-03-29 14:13:39.742974,26.6,60.3
2022-03-29 14:13:49.935759,3.4,58.4
2022-03-29 14:14:00.137671,4.4,58.4
2022-03-29 14:14:10.304654,4.1,57.4
2022-03-29 14:14:20.737536,4.1,57.9
2022-03-29 14:14:30.939336,5.5,57.4
2022-03-29 14:14:41.304821,4.2,57.4
2022-03-29 14:14:51.555787,2.5,57.4
2022-03-29 14:15:01.814972,6,57.9
2022-03-29 14:15:12.007700,3.8,57.4
2022-03-29 14:15:22.202794,4.5,57.4
2022-03-29 14:15:32.405775,1.5,56
2022-03-29 14:15:42.609766,4.6,56.4
2022-03-29 14:15:52.793292,3.1,56.9
2022-03-29 14:16:03.062355,2.7,57.4
2022-03-29 14:16:13.256639,5.2,56.4
2022-03-29 14:16:23.481433,3.7,56.4
2022-03-29 14:16:33.678048,4.7,56
2022-03-29 14:16:43.881988,7.2,57.4
2022-03-29 14:16:54.067715,3.6,55.5
2022-03-29 14:17:04.265983,3.6,55.5
2022-03-29 14:17:14.496164,0.7,56
2022-03-29 14:17:24.700700,2.2,56
2022-03-29 14:17:34.895767,3.8,56
2022-03-29 14:17:45.098007,0.5,55
2022-03-29 14:17:55.364341,0.7,56
2022-03-29 14:18:05.560423,0.6,55.5
2022-03-29 14:18:15.772579,0.6,55.5
2022-03-29 14:18:25.995379,0.2,55
2022-03-29 14:18:36.185766,1,56
2022-03-29 14:18:46.387809,0.5,55
